time,nearestNeighborParameter
0,"[19.605599033879916,22.766334724485308,45.4527355655702,22.766334724485308,33.18480518040672,16.722672306232372,19.605599033879916,32.92672981768155,27.269023957247104,31.68722404852412,30.450139295620367,3.81062872165685,30.23456319014545,22.564361475077458,30.883464573146057,45.54717888177933,30.243740047347046,18.83379520648403,3.81062872165685,32.05134084597873,40.35741558579128,13.798673901773878,22.659094666452397,48.236170171615996,46.039620088746,32.92672981768155,40.78126579566488,4.8704564606132,29.559562311224983,13.798673901773878,52.34136208019189,26.116226153901675,21.8656573188942,45.87596025324455,20.220306832624015,39.9886298724355,16.722672306232372,30.243740047347046,34.52865706731908,83.06201488379489,46.039620088746,46.27210814993444,33.22193398875943,4.8704564606132,36.868607829877234,22.659094666452397,26.116226153901675,39.9886298724355,18.83379520648403,27.269023957247104]"
10,"[20.755159716260984,21.268795739144164,42.82699338899675,21.268795739144164,45.58207212445806,12.066405617068206,20.755159716260984,32.700865682401236,25.440498847691483,27.004380076553005,31.76032407670038,7.785989556006078,37.25017608008925,22.346908228589292,19.2709452467407,42.82699338899675,27.004380076553005,8.919945834625455,7.785989556006078,30.022673668533916,36.70032774347408,12.634026142813825,24.575434535516777,43.17984731792451,51.02210287050808,36.31076305793163,42.43470741125326,11.734934693889869,33.229017542204694,12.634026142813825,36.20084585291193,27.47013143692239,28.89719775424155,39.11298523915549,19.405089685833858,37.80427155084204,17.374963289824443,32.783060619727934,35.799795577164836,82.91150399575204,46.14836046690826,48.32556310200652,33.229017542204694,11.734934693889869,32.700865682401236,24.575434535516777,19.2709452467407,37.80427155084204,8.919945834625455,25.440498847691483]"
20,"[21.69976325000033,21.219931448891685,42.2350471556157,21.219931448891685,50.43611073087546,11.402615484485361,21.69976325000033,29.64493920779682,24.466226840561358,25.82442239017553,32.8871856137647,10.137740754851317,34.9390185287432,19.25256699267876,13.297826465967601,42.2350471556157,25.82442239017553,8.09828099744617,10.137740754851317,25.478688891970954,31.32938330457677,12.365583861503847,26.351855972373087,39.07143547277788,60.45189499205455,35.35438545720991,45.279714918459106,11.41192314643579,32.37379201232865,12.365583861503847,30.25392136797875,27.684295421975747,39.67215722360444,39.524765087369175,19.213347449796345,35.66652077831573,16.89973429918966,31.28055286246046,30.830480451099465,79.59094961038633,44.69852169100588,42.927238063987076,30.25392136797875,11.402615484485361,29.64493920779682,26.351855972373087,13.297826465967601,35.66652077831573,8.09828099744617,24.466226840561358]"
30,"[23.00442637041644,20.593880484029214,41.46963576172351,20.593880484029214,48.06606018354739,10.412098205842494,23.00442637041644,25.726104504120567,23.94130126933063,24.626076162594572,34.64542564003563,10.642422345659872,26.10159326896069,20.47016586695041,12.340485960506498,40.724228713549124,24.626076162594572,14.599998521552296,10.642422345659872,22.63742114398661,27.806158018049274,11.756284119559787,30.595641377619575,36.026905648127446,66.79243942326983,23.97093132550938,37.064808191837216,10.938023597365339,30.971057191168384,11.756284119559787,29.712736657065935,25.67259001182984,51.7561978249236,39.30532460381995,19.139020383998385,26.949063199826217,16.341876515848533,24.82690838270838,21.589449472549195,80.01769887798588,41.29668581401183,38.8161722795481,29.712736657065935,10.412098205842494,25.726104504120567,30.595641377619575,12.340485960506498,26.949063199826217,14.599998521552296,23.94130126933063]"
40,"[22.677607081340483,19.86561619001614,42.34268186905109,19.86561619001614,46.50544935170075,10.15544662353395,16.412853229721733,19.350948230712216,24.535705752303354,23.11356759605347,34.69081057474032,10.267260493796046,18.157201126329454,18.157201126329454,11.774312707372651,31.223803400228718,23.11356759605347,8.815285183700622,10.267260493796046,21.080932068950116,26.451558327174396,10.494270615530928,30.639922913596934,37.054739810703296,63.424813063213186,16.412853229721733,34.69081057474032,10.26609145159143,29.454886416941743,10.494270615530928,29.564120889536632,23.799946818511483,63.81414414624726,35.27034053788594,11.963239862499911,23.572289612572458,15.912994107064948,15.507028731827097,11.963239862499911,69.95858143200357,35.60413609849496,36.426206613527754,29.454886416941743,10.15544662353395,19.350948230712216,30.639922913596934,11.774312707372651,23.572289612572458,8.815285183700622,24.535705752303354]"
50,"[22.738503234604444,19.124649458447305,43.442230497799336,19.124649458447305,44.74917712724812,9.991740949002322,11.597662392913831,13.84676089045632,23.787876998551457,21.70403565391492,28.914556183808156,10.789197908022839,16.303808349171522,16.303808349171522,10.57101717661831,24.60037608552482,21.70403565391492,13.294304056142707,10.789197908022839,18.04047633059392,26.503301639858254,11.037970314316654,30.168136640513165,41.59547301884299,59.35005107522804,11.597662392913831,28.914556183808156,10.104689535213772,28.603606091370384,11.037970314316654,29.00415840294825,22.406063430585967,76.96965835407661,32.85704201383852,8.847003645928629,20.73167096625254,15.699058063977278,10.015165179938567,8.847003645928629,62.731205649003066,30.77661536690559,32.85245644722313,28.603606091370384,9.991740949002322,13.84676089045632,30.168136640513165,10.57101717661831,20.73167096625254,13.294304056142707,23.787876998551457]"
60,"[23.527106706546444,19.040761824169422,41.60456696915448,19.040761824169422,42.80663561456177,9.847928296793041,10.47180753177326,9.811410434106438,22.758945687401646,20.329741433405378,26.925411438637628,10.928820344599238,15.460008540266596,15.460008540266596,10.229805025461962,10.485929810866786,20.329741433405378,13.775534487250427,10.928820344599238,14.843926723035931,26.509260374366747,11.679470726242785,29.450548119075446,40.53502343223067,55.258907737429304,10.47180753177326,26.925411438637628,10.043049496723008,27.73460763934093,11.679470726242785,28.075837367858316,21.482041557729104,88.06409362112606,32.53064732257602,9.813172717990106,18.19095796674237,15.64628064985838,7.792087372432365,7.792087372432365,46.13734672963547,28.433528482605283,24.48028148452285,27.73460763934093,9.847928296793041,9.811410434106438,29.450548119075446,10.229805025461962,18.19095796674237,13.775534487250427,22.758945687401646]"
70,"[23.59868939378824,18.778003924240927,31.754638431617188,18.778003924240927,41.016747689199995,9.745991343288775,12.331921638791657,10.523362622917547,22.666095141089237,11.349430083700852,24.903857812371953,10.705131733154925,14.746302266134425,14.746302266134425,10.389927987267985,10.522539899354731,13.756965685606666,13.59703696514699,10.705131733154925,13.314815483223907,26.544323851621044,10.357459935255676,28.879302908082042,28.92046183912493,51.34158700419619,10.707104347817843,23.59868939378824,10.308021465442325,26.74529151647896,10.357459935255676,26.92590371275891,19.29385638473595,89.58309126257348,32.66960882636998,10.524081970938731,16.394742560709066,15.821628211465617,10.524081970938731,10.389927987267985,29.196833722034366,27.27023472379529,23.387089026110836,26.74529151647896,9.745991343288775,10.522539899354731,28.879302908082042,10.528756076351266,16.394742560709066,10.82677314927599,22.666095141089237]"
80,"[21.31099974962745,18.34677218814797,17.857471736616137,18.34677218814797,40.43996964153815,10.140885480121769,11.616785375583827,9.538277829749534,22.6217862710908,9.963353821336135,24.0269987325598,10.780623044386552,14.727813447252348,14.727813447252348,5.352113112119806,5.0576847203390916,12.762725051282665,8.051439988365976,10.780623044386552,10.992350413396897,26.5091862175157,10.244378436474356,27.077211024740887,20.919176956862103,48.03236946491921,5.0576847203390916,21.31099974962745,10.23731776598212,26.52715624463707,10.244378436474356,24.352078320271495,14.978528256824188,88.9250620964269,31.422087749271036,10.829804845023851,15.03717263755193,14.144115509145292,9.963353821336135,5.352113112119806,20.919176956862103,26.5091862175157,21.667494262909557,24.352078320271495,10.140885480121769,9.538277829749534,27.077211024740887,8.980871311544517,15.03717263755193,8.051439988365976,22.6217862710908]"
90,"[8.756011846957305,17.63192790006644,16.471521286488255,17.63192790006644,39.96390453842748,9.84866679756182,8.058248705552028,8.776501448102634,22.135861472692635,9.205351989335794,24.60266195642016,10.345719733802712,14.776194120565451,10.843673041750291,5.09971404027921,9.07028502333075,11.185115405811572,9.53153309853859,9.811893999311954,9.811893999311954,25.87226508398688,10.487268021406372,24.95415692630576,18.819296243171053,44.85857693723806,8.058248705552028,20.435574263096694,10.244173226191762,25.68096266522855,10.487268021406372,22.039293242879666,8.586751690756623,87.95047196271933,28.156435545668014,9.68502542929984,13.134654947498248,13.261517457863825,9.205351989335794,5.09971404027921,18.819296243171053,25.87226508398688,21.459167417317524,22.039293242879666,9.84866679756182,9.982046393433452,24.95415692630576,8.586751690756623,13.134654947498248,9.53153309853859,22.135861472692635]"
100,"[7.5853169863692695,17.179870249575988,7.5853169863692695,17.179870249575988,39.77045277561867,10.039456480061968,2.062292387075331,9.120235894603212,21.4375588643317,9.303432683867344,22.83475223933965,10.424315994020253,12.58496878741881,10.2479998938076,6.093115187465885,8.870643158441037,9.665871491095222,10.857234447795083,9.441293259561393,9.441293259561393,25.04428840198424,10.237609253804742,24.49841077656309,16.089479300798153,41.99542348198871,2.062292387075331,13.070061654309347,9.858909575383132,24.49588315237176,8.18444444434235,20.853651352819167,9.555077703405592,84.35393487615784,24.90290519348807,8.114704981153405,11.756839281085611,12.9015479877266,9.303432683867344,6.093115187465885,10.2479998938076,25.04428840198424,16.089479300798153,20.853651352819167,9.858909575383132,9.127067677956749,22.83475223933965,8.981746997233541,11.756839281085611,8.18444444434235,21.4375588643317]"
110,"[8.692410632068997,16.85444878909094,9.088017040275568,16.85444878909094,38.23053126561034,9.925035472660541,2.0171324873319603,8.825023625660862,20.532093947491884,9.510124776341867,18.30312786930308,10.007583365997972,12.228980375078992,9.406323309067039,8.912761938128765,8.97862235728415,10.729958887420647,9.832161331402173,9.923084100441116,9.923084100441116,24.550051128226528,10.823597410334262,24.13045311177077,9.188310174786732,39.561482010036414,2.0171324873319603,9.290222359021726,10.220211806518916,22.86734597418607,11.771879682553621,20.315414572432836,11.425200144284213,79.75421320531873,19.60006867551135,4.857031872845641,10.800822553577126,12.027681253921472,9.510124776341867,4.857031872845641,9.406323309067039,24.550051128226528,9.188310174786732,20.315414572432836,9.925035472660541,8.97862235728415,20.432153835669396,8.912761938128765,10.800822553577126,9.832161331402173,20.532093947491884]"
120,"[6.416184681360079,17.07621617575396,9.575780021074552,17.07621617575396,35.77637188199975,10.554523395667404,5.724265189316346,3.562203862304472,19.6324712984958,10.122263173262509,17.216918578444535,9.909376400848437,10.565023016579788,8.39500331690173,9.365421279499989,7.815411026901408,9.732710357993897,10.558375561220581,9.791772770648075,9.791772770648075,24.140795944968737,10.39424632631974,24.21308452823243,8.717582780934332,37.98387553823056,3.562203862304472,9.368126028708694,10.210379009778627,20.814040223006845,10.39424632631974,20.106488219524845,10.247544418863344,71.34777695637216,17.17951166979133,3.8056433672122854,10.220783194903577,10.51552171455616,8.585061971937327,3.8056433672122854,8.39500331690173,24.140795944968737,8.585061971937327,20.106488219524845,10.210379009778627,9.100913439396773,18.137161074673276,9.309192856450707,10.519492678752036,10.558375561220581,19.6324712984958]"
130,"[5.459241234865036,15.82427886580773,10.025540024254179,17.795393822052276,33.52299562498871,10.548075773175695,5.459241234865036,2.9350981360129045,18.80692261525874,8.31384514701482,11.2013944978201,9.824604977310054,11.746410222953287,7.953738635286971,8.901966386093406,8.32459206485869,9.138751912888402,8.999089370369765,9.824604977310054,10.256043902952959,24.042930766913344,10.787233305358106,24.218560662955714,7.045826769155992,37.56635325953524,2.9350981360129045,7.840321658935367,9.784966682501167,18.964601896164115,10.787233305358106,18.964601896164115,11.120683102087192,64.9184714718857,14.512297612716425,5.897593561282656,9.847095768042939,8.868916014761218,7.092993930998845,5.897593561282656,7.953738635286971,24.042930766913344,7.045826769155992,19.97635020451732,9.784966682501167,9.84679434269719,16.294962115299104,8.36092649519692,9.847095768042939,8.999089370369765,18.80692261525874]"
140,"[3.312061902300798,9.341474180260098,10.919949317790838,15.30461598640745,30.17153683167955,10.91419442987079,3.312061902300798,7.021538522791755,17.33136651765401,7.300673416041637,10.504417240045255,10.57213239489173,9.452849281670423,5.8803790400140885,7.667587741069502,7.062414192688825,9.657379414011965,9.348016891165269,10.57213239489173,10.969743091954198,22.761269172266193,9.952407630959915,24.29313665111922,5.8803790400140885,37.28865357914119,6.485149839819673,10.537560105535677,9.886681067701154,17.384186439766406,10.349764432347742,17.384186439766406,9.75788566954866,60.88018989610684,6.91090432097159,9.283076580952699,9.341474180260098,9.60439173244838,6.344005636129755,7.843236985097856,4.367082283086884,24.056509422693647,4.367082283086884,20.0859911261786,9.886681067701154,8.193424847668465,14.813106899578713,8.3766808260343,9.596448590773003,9.348016891165269,17.33136651765401]"
150,"[0.5226719058506799,10.661936278072519,8.99167818610553,13.38247951828441,27.79504248910443,10.750124993622055,0.5226719058506799,4.073512331415524,15.360482920016437,6.795444125532006,9.719310291586426,11.074046367780038,6.8406990942064745,1.0055097444400787,2.8884459142831678,4.52748946877289,9.533775160291245,7.899868747882748,10.884293380072075,11.26873337188617,21.986542375034375,7.317409798580799,21.766697555588255,1.0055097444400787,35.68094490827835,4.073512331415524,8.99167818610553,10.007894642064555,16.02738582941744,8.282127429619157,16.02738582941744,10.38186724884729,54.417603860836344,8.658376738184826,7.515469479022158,10.675232737113623,9.200693924588188,6.795444125532006,6.75951810956662,3.2926566129732455,24.048969925456845,2.8884459142831678,19.967035288144462,10.007894642064555,9.031305563597874,13.368198217057873,8.071980933078054,9.340051770094838,7.899868747882748,15.360482920016437]"
