time,orderParameter
0,0.07762289087408147
10,0.2962648531831129
20,0.19287930123889574
30,0.20778343044074746
40,0.38973180162991383
50,0.4390347058065774
60,0.3499172599681988
70,0.14823299132611262
80,0.11030934760121104
90,0.15403158461581734
100,0.3191242328269043
110,0.4658611732244964
120,0.5672425471129786
130,0.6469732359375054
140,0.6929241576930942
150,0.738876992376712
160,0.79706669725278
170,0.8517722944274033
180,0.8742526640441891
190,0.8683549649052332
200,0.8847204858629157
210,0.92785348618774
220,0.9194128953787366
230,0.9344275759154773
240,0.9536320553326825
250,0.9502859180747619
260,0.9397192948034753
270,0.907555058965802
280,0.9189695356403088
290,0.9356479785070673
300,0.9561249263889483
310,0.9515957472836033
320,0.9561729450292513
330,0.9707763445526671
340,0.9671330700918586
350,0.9584478310418906
360,0.9547234942814252
370,0.9725151559307446
380,0.9796864103561559
390,0.9820901903574176
400,0.9714055804978626
410,0.9749906716276644
420,0.9747390802837548
430,0.9826617641157579
440,0.9881428381403267
450,0.989754786123569
460,0.9886423231211452
470,0.9864675415529028
480,0.9910191705013002
490,0.9938163552968383
500,0.9865950388159014
